debt_id,lane,commit,surface,class,retail_does,implemented_instead,observable_difference_today,promotion_trigger,native_tree,merged_into,evidence
DEBT-FID1-001,UE0,45e6cd8,field,NONBLOCKING_FIDELITY,"0x85 func_80018EB4 starts a timed fade (30 or 0x5A); 0x9C func_80019410 gates until (D_800BCFEE & 3) < 2","UE0 pe_vm.cpp cases 0x85/0x9C fall through and advance PC immediately (RD3-A-allowed hard-cut). RD6-A later waits MODE2_FADE_TICKS=30 then gates.","On UE0 m0002i→m0003i the fade duration is skipped; hop token/persist still land. On RD6-A north hop the 30-tick wait is visible in the trace.",promote when fade/display interpolation or hop-gate timing is claimed exact (UE0 past m0003i or Native/UE Parity for the m0004i north hop),no,,docs/evidence/pe-ue0-native-field-bootstrap/VM_OPCODE_SET.csv; RD3-A RD3_IMPLEMENTATION_CONTRACT.md; RD6-A pe_rd6a_destination.py
DEBT-FID1-002,UE0+RD7-R,45e6cd8+ee552bd,render,NONBLOCKING_FIDELITY,"0x82 func_80066800 selects a 52-byte view and SetGeomScreen(H). Absent 0x82: m0377i first view is authored 2D layers; lobby per-frame picker among records 1/7 is undecoded.","Merged question: what selects the current 52-byte view without 0x82. UE0 always decode_view_record(..., 0). RD3-A allowed stay-on-record-1. RD7-R does not apply authored view 0.","UE0 lobby Aya is projected with view 0. m0377i research contract forbids applying view 0. No current playable m0377i to observe a mismatch.",promote when the camera-select / 0x82-vs-auto-apply rule is proven or when UE0/RD7-A loads m0377i,no,UE0 lobby-stays-view-0 + RD7-R whether_engine_ever_auto_applies_view0_without_0x82,UE0 REPORT.md warnings; RD7-R REPORT.md unknowns; RD3-A RD3_IMPLEMENTATION_CONTRACT.md
DEBT-FID1-003,RD6-A,65446c8,render,NONBLOCKING_FIDELITY,func_800655D4 OR-2 onto camera records 1 and 7 from a 16-byte init-table entry,outcome hard-gated (layers 1 and 7 active); 16-byte entry field layout unproven,first m0378i view tile count 691 matches the OR-2 outcome; byte positions inside the 16-byte entry are not claimed,promote when a live per-frame camera picker consumes the 16-byte init-table fields,no,,RD6-A REPORT.md warnings; SYS0 DEBT-SYS0-017; RD6-R f7e8ab5
DEBT-FID1-004,RD5-X+UE0,29c095a+PE-MBX2,mailbox,NONBLOCKING_FIDELITY,"0x1C func_80017764 → func_800653B8 appends a 12-byte record at D_800A3180; func_80065400 matches type/id; func_80012700 creates a task (entry PC from actor+0x19C; task+0x08/0x0C/0x14 written; re-arm PCs live)","Native field (PE-MBX2) now runs that queue. Python RD5-C/RD6-A still maps payload bytes (1=noop 2=clip 0x0A 0xFF=restore 3=hop). This checkout: func_8006536C zeros the table; 653B8/65400/12700 untranslated.","UE0 0x1C/0x1F fail-close is gone. Prefix hops still match. Re-arm / +0x05B8 tail are not claimed. Python payload machine remains a second treatment.",promote when BTL1 implements m0004i mailbox 3/4 or when save/load serializes task/mailbox state (SYS0 §4 flips this to BLOCKER),yes,,docs/evidence/pe-mbx2-native-mailbox/; RD5-X MAILBOX_PROOF.md; RD6-A REPORT.md; pc_port/game/boot/func_8006536C_port.c
DEBT-FID1-005,RD7-R,ee552bd,field,UNKNOWN_LABEL,"0x9B func_80015240: three operand low bytes → actor+0x23C/23D/23E; local MATRIX via func_800794c4 + GTE; attach chain 6698C/39B74/3A088/3A6A8; type-0 args (0x6E 0xB4 0x0A)",bytes stored / noneyield visual init; no gameplay name,none on first-play: returns 1 without yield,promote when a later arm reads actor+0x23C/23D/23E as gameplay (attach targeting collision camera),no,,RD7-R REPORT.md §9 unknowns=0x9B_byte_triplet_gameplay_label
DEBT-FID1-006,TXT0,1d47df3,text,PARKED_BLOCKER,21-column 12x12 SPRT atlas; u=(code%21)*12 v=(code/21)*12; advance D_800916A0[code*2+1]; VRAM dest + pixels,UV/width tables only; pe_txt0_decode.py --png is a labeled 5x7 host diagnostic,no retail glyphs on any runtime; TXT1 cannot draw,promote when TXT1 identifies the VRAM rectangle and hashes retail atlas pixels,no,,TXT0 FONT_RESOURCE.md; TXT1_IMPLEMENTATION_CONTRACT.md; REPORT retail_font_ready=NO
DEBT-FID1-007,BTL0,de959cf,battle,PARKED_BLOCKER,"after 0x89 (D_8009D28C=6) m0005i OP_0x94 waits until the word equals 7; then 0x40/0xAA/mailbox",matching setters store 0/5/6/8 only (192B8/17FDC/17FF0/192C8); writer of 7 not located,no battle return can complete the script poll,promote when BTL1 implements return-to-field / the mode-7 store,yes,,BTL0 REPORT.md; BATTLE_LIFECYCLE.md; src/func_80017FF0.c and siblings
DEBT-FID1-008,AUD1-D,40b7c3f,audio,NONBLOCKING_FIDELITY,seq26 declares reverb type 5 (C2 / FC 02) and the retail type-5 register program,bounded mixer emits a dry mix; events retained,PCM oracles are dry; mix-exact audio is not claimed,promote when Native/UE Parity for mix-exact audio recovers and waveform-compares type-5 reverb,no,,AUD1-A MIXER_CONTRACT.md; SYS0 DEBT-SYS0-001
DEBT-FID1-009,AUD1-D,40b7c3f,audio,NONBLOCKING_FIDELITY,SPU voice path (Gaussian interpolator not proven here but is the hardware path to claim),linear sample interpolation only,audible on mix-exact compare; handle timeline unchanged,promote when Day1 Accepted for mix-exact audio implements the proven SPU interpolator and hashes it,no,,AUD1-A MIXER_CONTRACT.md; SYS0 DEBT-SYS0-002
DEBT-FID1-010,AUD1-D,40b7c3f,audio,NONBLOCKING_FIDELITY,AKAO collection / art tables bound per used sequence,bank-0 fallback articulations retained,seq26/27 PCM oracles still pass; unused arts unbound,promote when collection/art binding is proven per used sequence,no,,AUD1-D REPORT.md warnings; SYS0 DEBT-SYS0-003
DEBT-FID1-011,AUD1-D,40b7c3f,audio,NONBLOCKING_FIDELITY,SFX banks and mix bus as authored,SFX path and mix bus unmapped; BGM-only floor,no SFX on the first-play handle timeline,promote when the SFX path and mix bus are proven,no,,AUD1-D REPORT.md; SYS0 DEBT-SYS0-004
DEBT-FID1-012,AUD1-D,40b7c3f,audio,UNKNOWN_LABEL,"0xEA 0x199 0x88 writes mailbox {0x88 0 0x88 0} + D_800B0DBE; proven not a seq26/27 selector",routed as a sound-worker command; SDRV payload unlabeled,does not start 26 or 27 (negative proven),promote when worker 0x88 payload semantics are recovered without changing the negative BGM ruling,no,,AUD1-C WORKER / AUD1-D WORKER_0X88_NEGATIVE.md; SYS0 DEBT-SYS0-005
DEBT-FID1-013,AUD1-D,40b7c3f,fmv,PARKED_BLOCKER,"m0372i +0x0478 opcode 0x35 3 → overlay index 3 → FMV1/FMV003.STR;1 with XA inside the STR",event recorded as a trace row; no STR demux / MDEC / XA,cutscene timing continues without video/audio playback,promote when FMV playback (STR/MDEC/XA + sync + return-state) is implemented,no,,SYS0 DEBT-SYS0-006; AUD1-D timeline; PE_DAY1_ACCEPTANCE_CONTRACT.md §10
DEBT-FID1-014,RD0,PE-RD0,fmv,PARKED_BLOCKER,cold-boot opening / limousine FMV (RD0 observed),ISO FMV000–FMV017B exist; opcode/file map unmapped,cold-boot path cannot play the correct STR,promote when a cold-boot opcode/overlay map names a hashed STR,no,,SYS0 DEBT-SYS0-007; PE-RD0 REPORT.md
DEBT-FID1-015,TXT0,1d47df3,text,UNKNOWN_LABEL,body code 0x4B in MSG_0x14 (after Father) has width 4,unmapped; decoder prints <4B>,one glyph hole in MSG_0x14,promote when TXT1 maps remaining body codes or the atlas identifies 0x4B,no,,TXT0 GLYPH_MAP.csv; ENCODING.csv; REPORT.md
DEBT-FID1-016,RD5-X,29c095a,input,UNKNOWN_LABEL,newly-pressed D_8009D1F4 & 0x100 advances 0xFF-terminal windows (func_8003EB04),mask proven; Sony button name not assigned,message close works by mask; controller label is unnamed,promote when a battle/menu pad consumer names the Sony bit,no,,RD5-X MESSAGE_CLOSE_RULE.md; SYS0 DEBT-SYS0-009; RD5-F9 warnings
DEBT-FID1-017,RD6-A,65446c8,persist,NONBLOCKING_FIDELITY,D_800A77F0 is 512 words / 0x800 bytes (PST0),Python hop fixtures persist=[0]*0x4B (indices 0..0x4A). UE0 and this checkout func_80034F10 are 512 words.,current prefix only touches 0/1/0x4A. m0005i writes 0x50/0x54/0x64 which sit past 0x4A.,promote when m0005i / BTL1 / save uses persist indices greater than 0x4A,no,,PST0 FIDELITY_RISKS.md R1/R9; pe_rd6a_destination.py persist=[0]*0x4B; UE0 pe_persist.h 512
DEBT-FID1-018,PST0,6f51289,persist,UNKNOWN_LABEL,m0003i +0x03E4 tests persist[0x19] & 0x08000000,reader only; writer values reset save behavior unknown,first-play prefix does not depend on the writer,promote when a writer or a later first-play arm that stores persist[0x19] is proven,no,,SYS0 DEBT-SYS0-014; PST0 PERSIST_REGISTRY.csv index 25
DEBT-FID1-019,PST0,6f51289,save,PARKED_BLOCKER,"func_8003F800 / func_8003FBD8 memcpy the 0x800 persist bank; parent 0x12E4 prefix + 0xA8 sibling words; CRC-16 poly 0x1021 table D_8009EED0","save header/CRC span/card block not closed. This checkout pe_save.c is libcard bring-up only (slot object 0xF0 at D_800A5B70).",PT1 has no save/load. Native card init is not game persist.,promote when a proven Day 1 save/load site exists or SAV0 closes the header/CRC/card map,yes,,PST0 SAVE_BOUNDARY.md; pc_port/platform/pe_save.c; SYS0 DEBT-SYS0-015
DEBT-FID1-020,BTL0,de959cf,battle,PARKED_BLOCKER,Day 1 boss is a first-play 0x89 encounter whose identity is not yet proven,no formation is proven to be a boss; SYS0 blocker stays open,Day 1 cannot PASS,promote when a later first-play 0x89 is proven to be the boss (not a walkthrough name),no,,BTL0 DAY1_BOSS_PROVENANCE.md; SYS0 DEBT-SYS0-016 residual
DEBT-FID1-021,AUD1-D,40b7c3f,audio,NONBLOCKING_FIDELITY,m0003i +0x0444 C8 0x1E is Event-3 and starts seq26,AUD1-D research runtime has the handle timeline; the packaged PT1 playtest still has no Event-3,PT1 packaged lobby stays silent; current AUD1-D runtime is not silent,promote when a PT package includes the AUD1-D handle timeline,no,,AUD1-D REPORT.md warnings; SYS0 DEBT-SYS0-020
DEBT-FID1-022,RD4-B,RD4-B,field,NONBLOCKING_FIDELITY,0xB8 interpolates Aya to the authored target on the lobby mesh,180-frame fixed-point linear stand-in; clip 0x16; Y = group height -4; not collision-clamped,scripted target Z=3903 is past mesh max Z=3396; path is linear not retail 0xB8,promote when m0003i north / m0372i transition implements retail 0xB8 interpolation,no,,RD4-B REPORT.md scripted_aya_movement_status
DEBT-FID1-023,RD3-B,RD3-B,field,NONBLOCKING_FIDELITY,dest 0x3F restore is gated on task+0x14 == 0xFF at module 0 +0x030C,hold inhibit one startup frame then clear bit 0,one extra inhibited frame vs an exact mailbox-gated 0x3F; control still restores,promote when lobby arrival models task+0x14 / mailbox 0xFF for the dest 0x3F gate,no,,RD3-B TRANSITION_STATE.md; RD3-A RD3_IMPLEMENTATION_CONTRACT.md
DEBT-FID1-024,RD2M,RD2M,field,NONBLOCKING_FIDELITY,retail rsin/rcos table for the camera matrix,analytic sincos stand-in; identity at the frozen heading,none at the frozen heading used by current rooms,promote when a room's live heading leaves the frozen identity and the retail table is required,no,,RD2M REPORT.md warnings
DEBT-FID1-025,RD7-R,ee552bd,field,UNKNOWN_LABEL,0xED func_80016910 case 0xA29: sb arg1 → actor+0x27D (m0377i arg 0x86; m0372i was 0x80),store proven; gameplay label unknown,none on first-play (returns 1),promote when a later arm reads actor+0x27D as gameplay,no,,RD7-R REPORT.md §9
DEBT-FID1-026,AUD1-D,40b7c3f,audio,NONBLOCKING_FIDELITY,human-audible seq26/27 on speakers,PCM oracles hashed; physical speaker verification pending,none in hashed PCM; speaker check not recorded,promote when Day1 Accepted for audio records the human speaker verification,no,,AUD1-D REPORT.md physical_speaker_verification=PENDING_USER_TEST; SYS0 DEBT-SYS0-019
DEBT-FID1-027,RD07C,RD07C,field,PARKED_BLOCKER,m0001i → m0002i curb-to-sidewalk writer (token 0xA80000C8 back-link),writer remains TENTATIVE; m0001i is TENTATIVE as first-play predecessor,cold-boot → sidewalk hop is not a proven playable hop,promote when the curb writer plus persist/pose contract is proven and the cold-boot route requires it,no,,SYS0 DEBT-SYS0-012; RD07C REPORT.md; PE_DAY1_ACCEPTANCE_CONTRACT.md §3.2
DEBT-FID1-028,PST0,6f51289,persist,PARKED_BLOCKER,day-boundary persist reset if retail has one,only proven clear is func_80034F10 at boot/new-game; day-transition writer not found,none on Day 1 prefix (no day boundary reached),promote when a Day-2 / day-boundary script is on the route,no,,PST0 REPORT.md day_transition_status=UNKNOWN
DEBT-FID1-029,RD6-B,a0baebc,field,UNKNOWN_LABEL,0x41 func_80017D9C: actor+0x98 |= 0x40 (current D_8009D2F0),bit-level only; gameplay name unknown; ABSENT on m0377i first-play,none on current first-play forward,promote when a later first-play arm issues 0x41,no,,RD7-R opcode_0x41_status=ABSENT; SYS0 DEBT-SYS0-018 residual
DEBT-FID1-030,RD7-R,ee552bd,field,UNKNOWN_LABEL,type-2/3/4 created visible on m0377i (clips 4/2/0 parked frame 0),posed clip-frame-0 allowed; character names not required,no name drawn; actors parked,promote when those actors become interactive or a later arm requires a rendered name,no,,RD7-R REPORT.md unknowns=type-2/3/4_character_names
DEBT-FID1-031,RD7-R,ee552bd,field,UNKNOWN_LABEL,0x04 thread-walk body on the dest script,not walked past the 0x3F / first 0x20 boundary,none on first stable playable,promote when PE-RD7-A or a later progression walks the 0x04 thread,no,,RD7-R REPORT.md unknowns=0x04_thread_walk_body
DEBT-FID1-032,BTL0,de959cf,battle,PARKED_BLOCKER,retail ATB/command/target/damage/HP loop on the Day 1 route,no battle runtime; BTL1 is authorized for the handoff only (mode 6 consume) with no ATB,Day 1 cannot PASS; current prefix has no combat,promote when BTL1+ implements the handoff and a later battle rung owns ATB/commands for the proven m0005i encounter,no,,BTL0 BTL1_IMPLEMENTATION_CONTRACT.md; SYS0 §7
DEBT-FID1-033,RD5-F9,891159a,text,NONBLOCKING_FIDELITY,"MSG_0x14..MSG_0x20: FB 07 nn pause then 0xF9 auto-closes (func_80037870 state→0); following OP_0x02 is a script wait","pe_rd4e_cutscene.py keeps current_message for the full authored OP_0x02 hold (placeholder display). Not a press gate.",window placeholder lasts longer than retail 0xF9 close; token publication frame unchanged,promote when TXT1 / the m0372i reel renderer closes on 0xF9 after FB 07 and treats OP_0x02 as script-only,no,,RD5-F9 REPORT.md warnings; TXT0 TEXT_LIFECYCLE.md
DEBT-FID1-034,UE0,PE-MBX2,mailbox,RETAIL_FAITHFUL_UNSAFE,func_800653B8 does not clamp at 28; count is u8; a 29th append writes past 0x800A32CF,native appends at count*12 with no bounds check; backing covers the u8 index space so the overflow is observable,29th write in one tick lands at slot 28; boot clear zeros 28 rows only,do not promote a clamp; close only if a later EXE site is proven to bound the index,yes,,docs/evidence/pe-mbx2-native-mailbox/HAZARDS_REPRODUCED.md
DEBT-FID1-035,UE0,PE-MBX2,mailbox,RETAIL_FAITHFUL_UNSAFE,func_80065400 zeros the count byte only; record bytes stay,native drain sets count=0 and does not memset the table,stale type/id/payload/sender above the count remain readable,do not promote a wipe; close only if a later EXE site is proven to clear the rows,yes,,docs/evidence/pe-mbx2-native-mailbox/HAZARDS_REPRODUCED.md
