gate_id,gate_name,minimum_behavior,retail_authority_required,acceptable_temporary_fidelity_debt,unacceptable_production_shortcut,test_evidence_required,human_verification_required,current_status,day1_pass_allowed_now,debt_class,notes
A,FIELD,"Load each critical-path field from the retail PE.IMG package table; native 320x224 backgrounds with retail layer/pan; Aya on the retail collision mesh; walk/run via processed pad to yaw/velocity; honor authored 0x77 volumes and 0x31 tokens; inhibit on hop; restore via opcode 0x3F; no one-frame pad leak across transitions.","Disc 1 PE.IMG packages + SLUS_006.62 handlers (func_8001CAB0 volumes, func_80017BB4 dest writer, func_8001AE40/func_8001C614 collision, opcode 0x31/0x40/0x3F/0xAA/0xAB); accepted scene SHAs for m0002i/m0003i/m0372i/m0004i/m0378i; m0377i package SHA eb983055... once RD7-R lands.","Later first-play rooms may remain unloaded while RESEARCH_REQUIRED; outcome-faithful mailbox/task only in research/PT and only until battle/save share that state; camera init-table 16-byte layout unproven if OR-2 layer outcome remains hard-gated.","Background-derived collision; invented destination tokens; Aya scale hacks; skipping inhibit/restore; forcing persist to skip a hop; using lobby banks on non-lobby maps; treating 0x3C as FOV.","3/3 e2e trace SHA on declared columns; package SHA gates; collision query oracles; hop token decode against D_80093378 / func_8006E2D0 alphabet.",yes,PROVEN_PREFIX_M0002I_TO_M0378I,no,PROVEN_EXACT_for_prefix_PROVEN_OUTCOME_for_mailbox,Next forward dest is m0377i (RD7-R). Story-room count is not the primary Day1 blocker.
B,TEXT,"Retail string bytes; retail text encoding; glyph/font decode; window layout; line wrapping; message open via 0x0D/func_800375E0; close/advance per proven rule; speaker/name only where retail presentation requires a rendered name.","Slot7 streams (m0004i hashes 467bf214... and 231da625...); D_800B0CD8 bit 0x40000000 stream select; four 56-byte window records (state+0 id+0x10); func_80037870 / func_8003EB04 close path; m0372i records 0x14..0x20; m0004i 0x21..0x23; optional lobby 0x11/0x12.","Immediate parse phase while glyphs are unresolved IF state machine still does 1->2 at 0xFF then 2->0 only on newly-pressed D_8009D1F4&0x100; unknown speaker names may stay IDs when retail does not render a name.","Message IDs only presented as complete dialogue; host-tick auto-close; held-input close; invented English; timer-only close on the 0xFF path; MESSAGE_0X22_HOST_HOLD.","Independent parse of slot7 markers F9/FF FE <id>; window state trace; new-press edge oracle; no invented string fixtures.",yes,RECORD_IDS_ONLY,no,BLOCKER,RD5-C2 removed host hold. Glyph bytes for 0x21/0x22/0x23 remain unresolved. Day1 cannot PASS on IDs only.
C,BATTLE,"Actual combat on the proven Day1 route: field->battle handoff; participant/resource init; ATB/timing; player command selection; range/target; normal attack; required Day1 PE commands; enemy behavior; damage; HP/death; battle completion; EXP/BP/reward if retail awards them; return to field; Day1 boss.","Retail EXE battle overlay/handlers + the still-unidentified first-play encounter packages. Old PC ports are not authority. Encounter and boss identities are RESEARCH_REQUIRED.","MAY_DEFER_AFTER_DAY1 features listed in PE_DAY1_ACCEPTANCE_CONTRACT.md section 7.2 (unused PE; later enemies; unused party members). No combat identity may be guessed to fill this cell.","Auto-resolve; press-to-win; skipped boss; imported PC-port stats; outcome-only HP with no command/ATB/target loop once this gate is claimed; forcing the next field token instead of fighting.","Once identities exist: 3/3 battle traces (ATB, commands, HP, rewards, return pose/persist) against a retail emulator oracle.",yes,RESEARCH_REQUIRED,no,BLOCKER,No proven prefix room contains battle evidence. Day1 cannot PASS without combat. Do not invent Melissa/rats/audience fights from memory.
D,MENUS,"Only menu surfaces proven necessary to complete the Day1 route. Battle command menu becomes mandatory when combat is on the route. Field item/equipment/status/PE/options/save UI are not auto-required.","Retail menu EXE/script consumers on the first-play path. None are currently proven required before combat.","Research may omit unproven field menus. PT may omit them if the packaged route does not need them.","Shipping a full later-game menu suite as if it were a Day1 gate; substituting a host debug overlay for a required retail menu; claiming Day1 PASS with no battle command surface once combat exists.","If a menu is promoted: open/navigate/confirm/cancel traces plus the persist/actor writes it must perform.",yes,NO_PROVEN_REQUIRED_FIELD_MENU,no,RESEARCH_REQUIRED,Optional m0003i type-2 talk is field 0x0D/0x22 not a menu. Evaluate item/equip/status/PE/options/save from future first-play evidence only.
E,PERSISTENCE,"Promote persist[] entries with index width readers writers known values reset save-persistence semantic-confidence provenance. Production stores the raw retail words. Convenience booleans are forbidden as authority.","Script opcodes 0x09/0x0A and dest startup arms on SLUS_006.62; current evidenced indices 0 1 0x19 0x4A only. Retail array base/length/save-block mapping RESEARCH_REQUIRED.","Research runtime may model 0..0x4A as 32-bit words while those are the only touched indices. Names may appear in comments as hypotheses.","Promoting a name because a value opened a door; replacing persist[0x4A] with saw_cutscene=true; zeroing the bank across hops that retail preserves; leaking the older shared bank across a hop (RD6-A).","Per-index reader/writer census; hop traces showing carried vs written words; fail-closed tests against wrong-width stores.",no,PARTIAL_UNPROMOTED,no,PROVEN_OUTCOME,See contract section 9. persist[1] is source-map numeric id. persist[0x4A] is a first-play checkpoint word. No English names are authoritative.
F,SAVE_LOAD,"If the proven Day1 route requires save or load: serialize retail-authoritative persist/actor/map/task state; restore into the same words; reject host convenience snapshots as production saves. If no critical-path save site is proven the gate is not a Day1 PASS requirement but also cannot be claimed complete.","Retail libcard / save-block layout once mapped. Native pe_save.c is save-manager bring-up only and is not game-persist serialization. PT1 has no save/load.","Research PT may start each run at the accepted first-playable spawn with no save. That is not production save.","Host JSON/boolean snapshots as production saves; claiming Day1 save support without persist promotion; silently dropping mailbox/task because the research runtime did not model them.","Round-trip: save at a proven site; load; row-for-row equality of promoted persist and required actor/map fields vs the pre-save oracle.",yes,RESEARCH_REQUIRED,no,RESEARCH_REQUIRED,Critical-path save site identity is unknown. Cannot PASS Day1 by ignoring a later-proven required save; cannot require every later-game save feature now.
G,AUDIO,"Event-driven BGM from retail 0xC8/0xC9 handles; 0x1E->seq26 0x1F->seq27; no scene-load autostart; 0x199 0x88 is a sound-worker command not a sequence selector; no invented AKAO on rooms whose packages have none.","AUD1-C/D: handle table record[+10]->AKAO; m0003i +0x0444 C8 1E; m0372i C9 1E / C8 1F / C9 1F; worker 0x88 mailbox {0x88,0,0x88,0}+D_800B0DBE; seq26 PCM SHA cca775b1...; seq27 PCM SHA 43b3074c...; audio trace SHA 6bc5ff15....","Dry/incomplete type-5 reverb; linear sample interpolation; bank-0 fallback articulations; incomplete SFX/BGM mix. These are NONBLOCKING_FIDELITY for research/PT only.","Autostart seq26 on m0003i load; treating 0x88 as seq26/27; inventing BGM for m0004i/m0378i; OST/MIDI/PsyQ SEQ substitutes; claiming mix-exact while the listed debts remain.","Handle-timeline trace 3/3; seq26/27 PCM oracles; negative test that 0x199 0x88 does not start 26 or 27.",yes,HANDLE_TIMELINE_PROVEN_WITH_FIDELITY_DEBT,no,NONBLOCKING_FIDELITY,AUD1-D 40b7c3f. Human speaker verification still pending. FMV/XA is gate H not this mixer.
H,FMV,"Critical-path FMVs play from retail STR: demux + MDEC + XA where present + sync + return to field/script without dropping persist/mailbox/inhibit.","ISO FMV1/*.STR raw extents (RD0 inventory); proven current-prefix event 0x35 3 -> FMV003.STR (overlay 0x80120FB4 / return 0x80121C04). Opening FMV file identity RESEARCH_REQUIRED.","Non-production prerendered replacements only if explicitly labeled non-production and never hashed as retail. Research may record 0x35 as a trace row.","Timing placeholders claimed as FMV done; prerendered replacement as production; skipping FMV003 on the m0372i 0x0F arm; mixing STR XA into the AKAO mixer as seq26/27.","STR identity hash; frame/audio sync oracle vs retail emulator; post-FMV persist/mailbox/script-PC equality.",yes,EVENT_RECORDED_NOT_PLAYED,no,BLOCKER,FMV003 is on the current first-play arm. Opening FMV is RD0-observed but not opcode-mapped. Disc inventory lists FMV000-FMV017A/B.
I,INPUT,"Retail processed pad words: D_8009D26C held D_8009D1F4 newly-pressed D_8009D1E4 newly-released; Circle/Cross swap; field bits 0x01/0x08/0x10/0x20/0x40; inhibit D_8009D2E8 bit0; digital 8-way snap to camera heading; analog replaces direction bits. Message advance uses processed mask 0x100.","func_8003E944 PadInitDirect/StartPAD; func_8003EB04 poll; func_80035C84 inhibit gate; opcodes 0x40/0x3F; RD2A INPUT_PATH.md. Physical button name behind 0x100 is not required for the VM contract.","Host WASD/arrows as a PT mapping onto the processed bits; analog unused if the packaged route is digital-only.","Bypassing inhibit; using raw Sony bits without the swap/table; auto-injecting 0x100 every tick; treating 0x100 as a named face button in production docs.","newly_pressed oracle; inhibit skips pad table; message close rejects held-only input; yaw table vs heading 0 and 0x800.",yes,FIELD_INPUT_PROVEN_BATTLE_MENU_UNPROVEN,no,PROVEN_EXACT_for_field,Battle/menu bindings RESEARCH_REQUIRED. PAD_DOWN vs world +Z depends on the frozen per-room camera matrix.
J,CAMERA_RENDER,"Native 320x224 field backgrounds; retail layer/pan; 52-byte view MATRIX; GTE-style H/SZ; NCLIP MAC0>0; 4096-entry OT; retail OTZ; addPrim bucket head; far->near. No Aya scaling. 23x16 aux table is bounding spheres not bone translations.","PT1 freeze 3e4c65d; CAM-B 1bf3832; VIS-B ac62411; VIS-C cad4598. SetGeomScreen H m0002i=307 m0003i=251; offset 160,112 unless follow OFX/OFY live.","PRESENTATION_ONLY debug overlays and inspection split-frames. Host NCLIP using CAM-B float SXY of the same sign as integer SXY.","CAM-A zoom/68px target/AABB fit; nearest-neighbour upscale of the 320x224 background; treating 0x3C as FOV; using 23x16 centers as child T; source-order player submit in production; reopening visual fidelity in SYS0.",no_new_visual_campaign_required_beyond_frozen_oracles_and_new_room_inheritance,yes_already_accepted_for_PT1_stack,FROZEN_CORRECT,yes_for_frozen_stack_only,PROVEN_EXACT,Do not reopen in SYS0. New rooms inherit this stack; they do not get a make-Aya-look-better rung.
