index,offset,width,signedness,confidence,semantic_name,known_values,bit_masks,first_reader,first_writer,scenes,survives_room,survives_battle,save_backed,reset_behavior,cross_system_readers,notes,evidence_refs,operations
0,0x800A77F0,32,"word; slt compares signed, equality bit-exact",STRONG_ROLE,,0x2;0x4;0xFFFFFFFD,2;4,m0002i +0x01D8 alu_and,m0002i +0x0268 assign,m0001i;m0002i;m0004i;m0005i;m0372i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,"bitwise tests/assigns; flag word, not a single enum",EXE D_800A77F0; binder mode 2; route scripts,alu_and;alu_or;assign
1,0x800A77F4,32,"word; slt compares signed, equality bit-exact",PROVEN_SEMANTIC,entrance_selector,0x1;0x2;0x3;0x4;0x5;0x9;0xA;0x179;0x17A;0x3E7,,m0002i +0x00D0 alu_eq,m0002i +0x0EE4 assign,m0001i;m0002i;m0003i;m0004i;m0005i;m0377i;m0378i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field dest spawn only; not in D_800923D8 ranges,multiple scenes assign persist[1] immediately before dest tokens; destination modules equality-test the same slot to pick a spawn pose,EXE D_800A77F0; binder mode 2; route scripts,alu_eq;assign
8,0x800A7810,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x0,,m0005i +0x0D20 alu_eq,,m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_eq;assign_from
10,0x800A7818,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x1;0x2;0x4;0x80000000,,m0005i +0x0C3C alu_and,m0005i +0x3C74 assign,m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_and;alu_or;alu_srav;assign
18,0x800A7838,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x3,,m0005i +0x39B0 alu_and,m0005i +0x3B0C assign,m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_and;alu_or;assign
24,0x800A7850,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x1;0x2;0xFFFFFFFE,,m0004i +0x0100 alu_and,m0004i +0x0170 assign,m0001i;m0004i;m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_and;alu_or;assign
25,0x800A7854,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x8000000,,m0003i +0x03E4 alu_and,m0003i +0x0A98 assign,m0003i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_and;alu_or;assign
26,0x800A7858,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x1;0xA,,m0001i +0x1328 alu_eq,m0001i +0x1440 assign,m0001i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_add;alu_eq;assign
74,0x800A7918,32,"word; slt compares signed, equality bit-exact",STRONG_ROLE,,0x9;0x10;0x11;0x12;0x18;0x26;0x27;0x28;0x30;0x78,,m0002i +0x018C alu_slt_ab,m0002i +0x0278 assign,m0002i;m0003i;m0004i;m0005i;m0372i;m0378i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,monotonic-looking gate compared with 9/0x11/0x18/0x28/0x30/0x78; not labeled storyProgress,EXE D_800A77F0; binder mode 2; route scripts,alu_eq;alu_sge_ab;alu_slt_ab;alu_slt_ba;assign
80,0x800A7930,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,,,m0005i +0x1D84 assign_from,m0005i +0x32E8 assign,m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,assign;assign_from
84,0x800A7940,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x2000;0xFFFFDFFF,,m0005i +0x2AD4 alu_and,m0005i +0x2EF4 assign,m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_and;alu_or;assign
100,0x800A7980,32,"word; slt compares signed, equality bit-exact",VALUE_ONLY,,0x0,,m0005i +0x2F84 alu_eq,m0005i +0x2E80 assign,m0005i,YES,UNKNOWN,YES,zeroed only by func_80034F10 (boot/new-game),field scripts; save/load whole bank,,EXE D_800A77F0; binder mode 2; route scripts,alu_eq;assign;assign_from
