package_id,token,decoded_name,table_index,rel,packed,sectors,peimg_lba_range,size,sha256,compression,decoded_structure,consumer,writer,confidence,notes
m0005i,0xA80002C8,M0005I,4,0x266A,0x0600A921,33+169+96,"[10847,11145)",610304,fc48530a84811c31ebf4cde06bb12c9c7bcc815348db8dd8c2bb7dacd3410724,none_form1_user,3-chunk field package; chunk2 hdr@+4,func_8006B4F8,PE.IMG table D_80093378[4],PROVEN,NYPD/Eve-intro room; first 0x89 at module 6 +0x350C
m0005i_chunk0,0xA80002C8,M0005I,4,0x266A,0x0600A921,33,"[10847,10880)",67584,4357feb42ebb58f29f3b04e00f72b12c0a56901eb3917ebeff32a84a0e8ff62f,none_form1_user,6B4F8 dest overlay+0x194,func_8006B4F8 / 6E6A8,PE.IMG,PROVEN,
m0005i_chunk1,0xA80002C8,M0005I,4,0x266A,0x0600A921,169,"[10880,11049)",346112,f17d8cb700ca4a3c11f98037206e73f9e08c60340d70300a529f4af76361fe04,none_form1_user,6B4F8 dest overlay+0x168,func_8006B4F8 / 6E6A8,PE.IMG,PROVEN,
m0005i_chunk2,0xA80002C8,M0005I,4,0x266A,0x0600A921,96,"[11049,11145)",196608,01a64ba3769dae259e9c3151aa9eaacf977a44ac7db4ec8053f2d338ef017e3b,none_form1_user,scripts+Writer A+B0E70+12574; dest overlay+0x18C,func_8006B4F8 publish cut,PE.IMG,PROVEN,hdr@0x2faf0
ce2_14_clip_bank,CE2=14,,D_800930D8[22..23],396,,32,"[1409,1441)",65536,db785a5eea1f78f945284e57955605326f5856adda1ebc83d0a95d7a0142b1b2,none_form1_user,Writer B 12-byte dir; type-0 commands,func_8001A680 via D_800B0E98,func_8006BECC state6 / 6C140,PROVEN,6C1CC(a0=1) sets CE2=14; 144FC/29810 do not jal it
m0367i,0xA80663C8,M0367I,366,0x15050,0x04E0AA21,33+170+78,"[87109,87390)",575488,671d8c53b0c12b13e1580b844e37c51dc6120b6cf7af78472037d7ed1a7da6de,none_form1_user,3-chunk dest package; 6B4F8 reload,func_8006B4F8,0x31 store D_8009D280,PROVEN,watch-arm dest after m0005i; do not infer story meaning
m0367i_chunk2,0xA80663C8,M0367I,366,0x15050,0x04E0AA21,78,"[87312,87390)",159744,ab9af4f446a6f9a1f8f79f1f80b862c4d516beddbede1229afab2dfc30b44b1e,none_form1_user,hdr@0x2696c; Writer A count 36; hdr+0x0C count 3,func_8006B4F8 publish cut,PE.IMG,PROVEN,
ce2_14_clip_ptr_5D40,CE2=14,,"idB=0,1,2,3,7,22,23,28",0x5D40,,,"[1409,1441)",3796,cabc0c490153091a3d83b5f79da71c108d1cbe5004276ccae70707397e25e85e,none,clip enc=1 bones-1=30 frames=69,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_6C14,CE2=14,,idB=4,0x6C14,,,"[1409,1441)",1700,6207fbca2fe44a3549bf0b7fbcf1ce3e979a0a12e8b130e606ea4a985b1885e4,none,clip enc=1 bones-1=30 frames=18,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_72B8,CE2=14,,idB=5,0x72B8,,,"[1409,1441)",3564,6d6161c745865935c85c6d93269d77b4413ee6b2c663dae19fd461713c7a020a,none,clip enc=1 bones-1=30 frames=48,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_80A4,CE2=14,,idB=6,0x80A4,,,"[1409,1441)",1796,ff260cd6f44ea4156549737e8ee1f41d7ea9d4b875c835a67491d58a7be1079f,none,clip enc=1 bones-1=30 frames=21,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_87A8,CE2=14,,idB=8,0x87A8,,,"[1409,1441)",856,0917a6e4eacff43d49bd1c37ce5f880cce5197366366674df5059cc22e216a5a,none,clip enc=1 bones-1=30 frames=11,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_8B00,CE2=14,,idB=9,0x8B00,,,"[1409,1441)",2244,4e9ecaa6fafe7352b2cb8aa021539d48fe6ee1d2294774404ebbc1b0f521e0d0,none,clip enc=1 bones-1=30 frames=28,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_93C4,CE2=14,,idB=10,0x93C4,,,"[1409,1441)",1688,0d2c6f5ea8b2ffbdfa306fae51003e6735f2e529e9fb83ff31882140d16f99de,none,clip enc=1 bones-1=30 frames=22,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_9A5C,CE2=14,,idB=11,0x9A5C,,,"[1409,1441)",3316,5fc79d2935db712f39ec3685f2a99aa6f2f9dc63aa647e087f5bcb3cca4cb5ab,none,clip enc=1 bones-1=30 frames=41,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_A750,CE2=14,,idB=12,0xA750,,,"[1409,1441)",1436,1844686e2a12ea56534932b339a4668d25672771310c1853fb011e0d42c1546a,none,clip enc=1 bones-1=30 frames=21,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_ACEC,CE2=14,,idB=13,0xACEC,,,"[1409,1441)",3668,fe471967e3e67962d79033d408f39b73818a098f8c25774f0b5268c39df22e10,none,clip enc=1 bones-1=30 frames=51,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_BB40,CE2=14,,idB=14,0xBB40,,,"[1409,1441)",1616,5b46c68115efd821856cc55eb889d613ccc00c1acff2e4b367dd1bb6188484bf,none,clip enc=1 bones-1=30 frames=20,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_C190,CE2=14,,idB=15,0xC190,,,"[1409,1441)",2512,bd7f377cb574db9c963ad85ee08a9706db3197ede530bbb2e5c700ce9430780a,none,clip enc=1 bones-1=30 frames=34,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
ce2_14_clip_ptr_CB60,CE2=14,,idB=16,0xCB60,,,"[1409,1441)",640,e631c68c76612370812c8fdba3ee63cc1ed1a3c8aad4afd394af5b0c17882f0d,none,clip enc=1 bones-1=30 frames=6,func_8001A680 +0x1B0,func_8006C140 Writer B,PROVEN,type-0 command bank; do not name clip
